epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
69,4033.87,0.46191,0.34512,1.06003,0.84367,0.74286,0.8555,0.6347,1.01398,0.75128,1.64193,0.0006536,0.0006536,0.0006536
70,4068.36,0.4761,0.3459,1.06867,0.83916,0.78571,0.8856,0.66929,0.91393,0.72584,1.51127,0.0006338,0.0006338,0.0006338
71,4102.82,0.46547,0.34906,1.05897,0.82029,0.77143,0.86287,0.65422,0.9258,0.75824,1.56472,0.000614,0.000614,0.000614
72,4137.45,0.4559,0.34573,1.05714,0.79802,0.74286,0.82922,0.63329,0.94368,0.77139,1.62133,0.0005942,0.0005942,0.0005942
73,4171.86,0.46141,0.34488,1.05846,0.90292,0.78571,0.85583,0.62966,1.00667,0.7494,1.68659,0.0005744,0.0005744,0.0005744
74,4206.25,0.45604,0.33631,1.04962,0.82575,0.8,0.8556,0.66795,0.93684,0.77101,1.62491,0.0005546,0.0005546,0.0005546
75,4240.83,0.45457,0.34102,1.05174,0.94349,0.71552,0.86976,0.68314,0.8764,0.7423,1.53281,0.0005348,0.0005348,0.0005348
76,4275.39,0.45401,0.33769,1.0522,0.81806,0.75714,0.83388,0.63861,0.93825,0.76603,1.57137,0.000515,0.000515,0.000515
77,4309.92,0.43895,0.3273,1.03731,0.81936,0.81429,0.85848,0.65412,0.94628,0.77428,1.61355,0.0004952,0.0004952,0.0004952
78,4344.72,0.4417,0.3272,1.04198,0.82708,0.72857,0.83094,0.63823,0.96608,0.72519,1.6012,0.0004754,0.0004754,0.0004754
79,4379.3,0.44051,0.32308,1.04267,0.87985,0.75714,0.85218,0.66973,0.89843,0.72361,1.52798,0.0004556,0.0004556,0.0004556
80,4413.93,0.43528,0.32542,1.03807,0.96604,0.71429,0.8627,0.65307,0.89957,0.69243,1.518,0.0004358,0.0004358,0.0004358
81,4448.56,0.43414,0.32034,1.03687,0.92162,0.71429,0.85312,0.68345,0.85147,0.76276,1.47231,0.000416,0.000416,0.000416
82,4483.1,0.4311,0.31594,1.0401,0.94,0.74286,0.86414,0.65827,0.92871,0.73308,1.57658,0.0003962,0.0003962,0.0003962
83,4517.67,0.43384,0.31956,1.04282,0.87827,0.77143,0.8609,0.65388,0.93832,0.71374,1.59118,0.0003764,0.0003764,0.0003764
84,4552.48,0.42898,0.32552,1.03481,0.94192,0.71429,0.86828,0.66801,0.91907,0.70636,1.57498,0.0003566,0.0003566,0.0003566
85,4587.11,0.41561,0.31438,1.02798,0.91787,0.7983,0.90335,0.70897,0.85566,0.6587,1.51476,0.0003368,0.0003368,0.0003368
86,4621.8,0.40987,0.30391,1.01871,0.86735,0.74286,0.84936,0.66904,0.82502,0.66971,1.44411,0.000317,0.000317,0.000317
87,4656.47,0.40772,0.30236,1.01873,0.91124,0.73335,0.86436,0.68899,0.86976,0.66535,1.54484,0.0002972,0.0002972,0.0002972
88,4691.15,0.40687,0.30356,1.01922,0.93397,0.72857,0.86314,0.68293,0.86326,0.71059,1.53515,0.0002774,0.0002774,0.0002774
89,4725.84,0.40689,0.29349,1.02514,0.86555,0.82771,0.87261,0.67679,0.88459,0.78526,1.5352,0.0002576,0.0002576,0.0002576
90,4760.63,0.40449,0.30114,1.02682,0.81347,0.80994,0.86657,0.66702,0.87921,0.70179,1.52706,0.0002378,0.0002378,0.0002378
91,4827.5,0.29599,0.21661,0.97799,0.92823,0.82857,0.88453,0.66466,0.89473,0.8563,1.53521,0.000218,0.000218,0.000218
92,4861.96,0.27414,0.19427,0.95377,0.86234,0.80547,0.8556,0.66767,0.85306,0.77763,1.50642,0.0001982,0.0001982,0.0001982
93,4896.32,0.27702,0.19071,0.95622,0.90229,0.74286,0.86192,0.70864,0.84678,0.78954,1.49262,0.0001784,0.0001784,0.0001784
94,4930.75,0.27069,0.19228,0.9604,0.87924,0.81429,0.86521,0.71788,0.8518,0.75743,1.49605,0.0001586,0.0001586,0.0001586
95,4965.29,0.25962,0.18631,0.94641,0.84935,0.80548,0.86709,0.72449,0.83942,0.77066,1.47281,0.0001388,0.0001388,0.0001388
96,4999.66,0.26052,0.18354,0.93947,0.94721,0.76903,0.87047,0.71167,0.84783,0.77614,1.49612,0.000119,0.000119,0.000119
97,5034.14,0.24911,0.17645,0.92845,0.98204,0.7812,0.88329,0.71552,0.83687,0.75219,1.475,9.92e-05,9.92e-05,9.92e-05
98,5068.61,0.24452,0.17516,0.93091,0.97582,0.75714,0.8719,0.7014,0.8918,0.78263,1.5343,7.94e-05,7.94e-05,7.94e-05
99,5103.16,0.24337,0.17227,0.93129,0.96373,0.75928,0.87446,0.71897,0.86968,0.73317,1.52236,5.96e-05,5.96e-05,5.96e-05
100,5137.62,0.23802,0.17289,0.92815,0.94822,0.7849,0.87336,0.71024,0.87473,0.72751,1.53107,3.98e-05,3.98e-05,3.98e-05
